What other names does Salesianum go by?	Salesianum is also called Sallies.
Does Salesianum offer summer programs?	Salesianum offers summer E.D.G.E. programs, which can allow students to opt out of classes during the school year, or advance to a higher phase of a class.
Are there summer programs at Salesianum?	Salesianum provides summer E.D.G.E. programs for students to either skip classes during the school year or advance.
Does Salesianum have any summer offerings?	Salesianum has summer E.D.G.E. programs allowing students to opt-out of school year classes or move ahead.
Are summer courses available at Salesianum?	Salesianum offers summer E.D.G.E. courses to help students skip or advance in certain classes.
Can students take summer programs at Salesianum?	Salesianum provides E.D.G.E. summer programs for students to advance or skip classes.
What summer options does Salesianum provide?	Salesianum offers summer E.D.G.E. programs to help students either skip or move ahead in classes.
Does Salesianum run summer programs?	Salesianum runs summer E.D.G.E. programs for students to skip or advance in classes.
Are summer classes available at Salesianum?	Salesianum offers summer E.D.G.E. classes for students to advance or skip school year courses.

Can I get a tour of Salesianum?	You can register a personalized tour of Salesianum School through our website.
Is it possible to tour Salesianum?	Yes, you can arrange a personalized tour of Salesianum School via our website.
Can I arrange a tour of Salesianum?	You can schedule a personalized tour of Salesianum through our website.
Is there a way to tour Salesianum?	You can book a personalized tour of Salesianum School on our website.
How can I get a tour of Salesianum?	You can register for a personalized tour of Salesianum through the school’s website.
Are tours available at Salesianum?	Personalized tours of Salesianum are available through our website.
How can I arrange a tour of Salesianum?	You can set up a personalized tour of Salesianum by visiting our website.
Is a tour of Salesianum possible?	Yes, personalized tours of Salesianum School can be booked through the website.

Does Salesianum have dogs on campus?	Salesianum has two dogs on-campus, Louie and Dewey, both of whom are Golden Doodles, which reduces any allergy concerns. They are both certified therapy dogs as well.
Are there dogs at Salesianum?	Salesianum has two on-campus dogs, Louie and Dewey, who are Golden Doodles and certified therapy dogs.
Does Salesianum keep dogs on campus?	Salesianum hosts two dogs on campus, Louie and Dewey, both Golden Doodles and certified therapy dogs.
Are dogs present at Salesianum?	Yes, Salesianum has two dogs on campus, Louie and Dewey, who are Golden Doodles and therapy dogs.
Does Salesianum have any campus dogs?	Salesianum has two Golden Doodles, Louie and Dewey, who are certified therapy dogs.
Are therapy dogs available at Salesianum?	Salesianum has two therapy dogs, Louie and Dewey, both Golden Doodles, on campus.
Does Salesianum feature any dogs on campus?	Salesianum features two on-campus Golden Doodles, Louie and Dewey, who are certified therapy dogs.
Are there therapy dogs at Salesianum?	Salesianum hosts two therapy dogs, Louie and Dewey, both Golden Doodles, on its campus.

Is Salesianum a private school?	Salesianum is a private school oriented towards the Catholic Faith.
Is Salesianum a private institution?	Salesianum is a private school with a focus on the Catholic Faith.
Is Salesianum a private educational institution?	Salesianum operates as a private school centered on Catholic beliefs.
Does Salesianum operate as a private school?	Salesianum is a private institution emphasizing the Catholic Faith.
Is Salesianum categorized as a private school?	Salesianum is classified as a private school with Catholic orientation.
Is Salesianum considered a private school?	Salesianum is considered a private school focused on the Catholic Faith.
Does Salesianum fall under the category of private schools?	Salesianum falls under the private school category with a Catholic emphasis.
Is Salesianum run as a private school?	Salesianum is run as a private school with a Catholic faith orientation.

Is Salesianum a religious school?	Salesianum is primarily focused on Catholicism.
Is Salesianum a faith-based school?	Salesianum is primarily oriented towards Catholicism.
Is Salesianum a school with a religious focus?	Salesianum has a primary focus on Catholicism.
Is Salesianum a school with religious affiliation?	Salesianum is primarily affiliated with Catholicism.
Is Salesianum focused on religion?	Salesianum primarily focuses on Catholic teachings.
Does Salesianum have a religious orientation?	Salesianum has a primary orientation towards Catholicism.
Is religion a major focus at Salesianum?	Salesianum primarily emphasizes Catholicism.
Is Salesianum a faith-oriented school?	Salesianum is primarily a Catholic-oriented school.

Is Salesianum a Catholic school?	Catholicism is a central part of Salesianum School.
Is Salesianum affiliated with Catholicism?	Catholicism is integral to Salesianum School.
Is Salesianum a Catholic educational institution?	Salesianum School is rooted in Catholicism.
Is Catholicism a key part of Salesianum?	Catholicism is essential at Salesianum School.
Is Salesianum a Catholic-oriented school?	Salesianum School is centered around Catholicism.
Is Salesianum School focused on Catholic values?	Catholic values are central to Salesianum School.
Is Salesianum a Catholic-based school?	Salesianum School is based on Catholic principles.
Does Salesianum follow Catholic teachings?	Salesianum School follows Catholic teachings.

Is Salesianum an all boys school?	Salesianum is an all-boys catholic school.
Is Salesianum a boys-only school?	Salesianum is a boys-only Catholic school.
Is Salesianum an all-male school?	Salesianum is an all-male Catholic institution.
Is Salesianum exclusively for boys?	Salesianum is exclusively an all-boys Catholic school.
Is Salesianum a school for boys?	Salesianum is a Catholic school specifically for boys.
Is Salesianum a boys' school?	Salesianum is a Catholic boys' school.
Is Salesianum a male-only school?	Salesianum is a male-only Catholic school.
Is Salesianum a school that only admits boys?	Salesianum is a boys-only Catholic educational institution.

What is Salesianum's mission?	Salesianum's mission is to give its students opportunities to serve, learn, and grow into gentlemen.
What is the mission of Salesianum School?	Salesianum's mission is to provide students with opportunities to serve, learn, and grow into gentlemen.
What is the primary mission of Salesianum?	Salesianum aims to offer students opportunities to serve, learn, and grow into gentlemen.
What does Salesianum aim to achieve?	Salesianum's mission is to give students the chance to serve, learn, and grow into gentlemen.
What is Salesianum's core mission?	Salesianum's core mission is to provide opportunities for students to serve, learn, and grow into gentlemen.
What is the goal of Salesianum School?	The goal of Salesianum is to allow students to serve, learn, and grow into gentlemen.
What is the objective of Salesianum?	Salesianum's objective is to offer opportunities for students to serve, learn, and grow into gentlemen.
What does Salesianum strive for?	Salesianum strives to provide students with opportunities to serve, learn, and grow into gentlemen.

What are oblates?	The Oblates of St. Francis de Sales was founded to advance the Gospel through the spirit and teaching of its patron saint.
Who are the oblates?	The Oblates of St. Francis de Sales were founded to promote the Gospel through their patron saint's teachings.
What is the purpose of the oblates?	The Oblates of St. Francis de Sales aim to further the Gospel according to their patron saint's teachings.
What do the oblates do?	The Oblates of St. Francis de Sales advance the Gospel following their patron saint's spirit and teachings.
Who founded the oblates?	The Oblates of St. Francis de Sales were founded to propagate the Gospel through their patron saint's guidance.
What is the mission of the oblates?	The mission of the Oblates of St. Francis de Sales is to spread the Gospel according to their patron saint's principles.
What is the goal of the oblates?	The goal of the Oblates of St. Francis de Sales is to promote the Gospel through the teachings of their patron saint.
What is the role of the oblates?	The Oblates of St. Francis de Sales play a role in advancing the Gospel according to their patron saint's values.

Who runs Salesianum as administration?	Salesianum School is administrated by a group of Catholic priests, primarily the principal, Father Baretta.
Who are the administrators of Salesianum?	Salesianum School is managed by a group of Catholic priests, mainly the principal, Father Baretta.
Who oversees Salesianum's administration?	Salesianum School's administration is overseen by a group of Catholic priests, primarily the principal, Father Baretta.
Who leads the administration at Salesianum?	A group of Catholic priests, led by the principal, Father Baretta, administers Salesianum School.
Who is in charge of Salesianum's administration?	A group of Catholic priests, including the principal, Father Baretta, is in charge of Salesianum's administration.
Who heads Salesianum's administration?	The administration of Salesianum School is headed by a group of Catholic priests, with Father Baretta as the principal.
Who manages the administration of Salesianum?	Salesianum School's administration is managed by a group of Catholic priests, led by the principal, Father Baretta.
Who directs the administration at Salesianum?	Salesianum's administration is directed by a group of Catholic priests, chiefly the principal, Father Baretta.

Does Salesianum have Catholic mass?	Salesianum school holds a monthly mass that all students attend, as well as an optional service before school hours every morning.
Does Salesianum offer Catholic mass services?	Salesianum holds a monthly mass for all students and an optional daily service before school.
Is there a Catholic mass at Salesianum?	Salesianum provides a monthly mass for students and an optional morning service daily.
Does Salesianum conduct Catholic mass?	Salesianum conducts a monthly mass attended by all students and offers a daily optional service.
Does Salesianum celebrate Catholic mass?	Salesianum celebrates a monthly mass for all students and has an optional morning service.
Are Catholic mass services available at Salesianum?	Salesianum offers a monthly mass for students and a daily optional morning service.
Does Salesianum have regular Catholic masses?	Salesianum holds a regular monthly mass for students and an optional daily service before school.
Is Catholic mass held at Salesianum?	Salesianum holds a monthly mass for all students and offers an optional daily morning service.

When was Salesianum founded?	Salesianum School was founded in 1903, and has continued operation for over 120 years.
What year was Salesianum founded?	Salesianum School was established in 1903 and has been operating for over 120 years.
What is the founding year of Salesianum?	Salesianum was founded in 1903 and has been running for more than 120 years.
When did Salesianum come into existence?	Salesianum was established in 1903 and has continued for over 120 years.
What is the inception year of Salesianum?	Salesianum School was founded in 1903 and has been active for more than 120 years.
How long has Salesianum been around?	Salesianum has been around since 1903 and has been in operation for over 120 years.
What is the establishment year of Salesianum?	Salesianum School was established in 1903 and has continued for more than 120 years.
When was Salesianum School established?	Salesianum School was founded in 1903 and has been operational for over 120 years.

What is Salesianum's website?	The website for Salesianum School can be found at salesianum.org.
Where can I find Salesianum's website?	Salesianum School's website is located at salesianum.org.
What is the web address for Salesianum?	The web address for Salesianum School is salesianum.org.
What is the URL for Salesianum's website?	The URL for Salesianum School is salesianum.org.
How can I access Salesianum's website?	You can access Salesianum School's website at salesianum.org.
What is the link to Salesianum's website?	The link to Salesianum School's website is salesianum.org.
What is the web page for Salesianum?	Salesianum School's web page can be found at salesianum.org.
Where is Salesianum's website located?	Salesianum School's website is at salesianum.org.

What is OnCampus?	OnCampus is the software that students and staff use to manage in-school activities, clubs, and classes. It allows students to easily track grades and assignments, as well as having tons of information about the school.
What is OnCampus used for?	OnCampus is software used by students and staff to organize school activities, clubs, and classes, and to monitor grades and assignments.
What does OnCampus software do?	OnCampus software helps students and staff manage school activities, clubs, and classes, and facilitates tracking of grades and assignments.
How does OnCampus software work?	OnCampus software enables students and staff to coordinate school activities, clubs, and classes, and to monitor grades and assignments.
What are the features of OnCampus?	OnCampus features include managing school activities, clubs, and classes, and tracking grades and assignments.
What are the capabilities of OnCampus?	OnCampus capabilities include organizing school activities, clubs, and classes, and monitoring grades and assignments.
What are the functionalities of OnCampus?	OnCampus functionalities include managing school activities, clubs, and classes, and facilitating grade and assignment tracking.
How do students benefit from OnCampus?	OnCampus benefits students by helping them organize school activities, clubs, and classes, and by tracking grades and assignments.
What can OnCampus do for students?	OnCampus can assist students in managing school activities, clubs, and classes, and in monitoring grades and assignments.

What are the hours of operation for Salesianum?	A standard school day at Salesianum runs from 8:30 - 3:00, but school doesn't start until 9:00 on Wednesdays.
What are Salesianum's operating hours?	Salesianum operates from 8:30 AM to 3:00 PM on regular days, with a later start at 9:00 AM on Wednesdays.
When does Salesianum open and close?	Salesianum is open from 8:30 AM to 3:00 PM, with a delayed start at 9:00 AM on Wednesdays.
What are Salesianum's school hours?	Salesianum's school hours are from 8:30 AM to 3:00 PM, starting at 9:00 AM on Wednesdays.
What time does Salesianum open and close?	Salesianum opens at 8:30 AM and closes at 3:00 PM, with a later start at 9:00 AM on Wednesdays.
What are the operating times of Salesianum?	Salesianum operates from 8:30 AM to 3:00 PM daily, with a 9:00 AM start on Wednesdays.
When is Salesianum open for classes?	Salesianum is open for classes from 8:30 AM to 3:00 PM, with a 9:00 AM start on Wednesdays.
What are Salesianum's daily hours?	Salesianum's daily hours are from 8:30 AM to 3:00 PM, with a later start at 9:00 AM on Wednesdays.
What is Salesianum's daily schedule?	Salesianum's daily schedule runs from 8:30 AM to 3:00 PM, with a delayed start at 9:00 AM on Wednesdays.

What is Prep?	Prep takes place before classes start twice a week, and is a school-wide assembly to make announcements and occasionally have short activities.
What happens during Prep?	Prep occurs twice a week before classes, involving school-wide announcements and occasional activities.
What is the purpose of Prep?	Prep, held twice a week before classes, includes school-wide announcements and occasional activities.
What is the function of Prep?	Prep serves as a school-wide assembly twice a week before classes, featuring announcements and occasional activities.
What does Prep involve?	Prep, scheduled twice weekly before classes, includes school-wide announcements and occasional activities.
What are the activities during Prep?	Prep includes school-wide announcements and occasional activities, held twice weekly before classes.
What occurs during Prep?	Prep is a twice-weekly assembly before classes with school-wide announcements and occasional activities.
What takes place during Prep?	Prep involves school-wide announcements and occasional activities, held twice weekly before classes.
What are the announcements during Prep?	Prep includes school-wide announcements and occasional activities, occurring twice weekly before classes.

What is Chapter?	Chapter is Salesianum's version of Homeroom, being a small group of students that meet before school twice a week. It's designed to help students get to know one another, bond, and have a chance to coordinate before the day's classes. A student remains in the same chapter throughout their entire four years at Sallies.
What is Salesianum's Chapter program?	Salesianum's Chapter is similar to Homeroom, where small student groups meet twice weekly before school. It aims to foster student bonding and coordination before classes.
What is the purpose of Chapter at Salesianum?	Chapter at Salesianum is a small student group meeting twice weekly before school, fostering student relationships and coordination before classes.
What does Chapter do at Salesianum?	Chapter at Salesianum, meeting twice weekly before school, helps students bond and coordinate before their classes.
What are the goals of Chapter at Salesianum?	Salesianum's Chapter aims to foster student relationships and coordination before classes through twice-weekly meetings before school.
What is the function of Chapter at Salesianum?	Chapter at Salesianum serves as a small group meeting twice weekly before school, aiding student bonding and coordination before classes.
What are the benefits of Salesianum's Chapter program?	Salesianum's Chapter program, meeting twice weekly before school, offers benefits in student bonding and coordination before classes.
How does Chapter work at Salesianum?	Salesianum's Chapter program involves small group meetings twice weekly before school, facilitating student bonding and coordination before classes.
How does Salesianum's Chapter benefit students?	Salesianum's Chapter program, with small group meetings twice weekly before school, benefits students by fostering relationships and coordination before classes.

How does the house system work?	Freshmen at Salesianum are divided into one of eight houses. These houses compete in friendly competitions and earn "points" throughout the year, with a scoreboard. The house in first place gets several small benefits, (like leaving assemblies first), and a special reward at the end of the year.
What is Salesianum's house system?	Salesianum's house system divides freshmen into eight houses competing in friendly competitions, earning points throughout the year and receiving rewards.
What are Salesianum's houses?	Salesianum has eight houses where freshmen compete in friendly competitions, earn points, and receive rewards throughout the year.
How do Salesianum's houses operate?	Salesianum's houses, involving eight divisions, compete in friendly contests, accumulate points, and receive rewards annually.
What are the benefits of Salesianum's house system?	Salesianum's house system provides benefits such as friendly competition, points accumulation, and year-end rewards among its eight divisions.
What are the features of Salesianum's house system?	Salesianum's house system features eight divisions with friendly competitions, points accrual, and annual rewards.
How does Salesianum's house system function?	Salesianum's house system operates with eight divisions competing in friendly contests, accumulating points, and receiving annual rewards.
What are the rewards in Salesianum's house system?	Salesianum's house system awards benefits like friendly competition, points, and annual rewards to its eight divisions.
What is the structure of Salesianum's house system?	Salesianum's house system is structured with eight divisions competing in friendly contests, earning points, and receiving yearly rewards.

What languages does Salesianum offer classes on?	Salesianum requires that each student takes at least 3 years of a single language. Salesianum has classes for Spanish, French, Mandarin, American Sign Language, and more.
What language classes does Salesianum offer?	Salesianum provides classes in Spanish, French, Mandarin, American Sign Language, and other languages, with a requirement for students to take at least 3 years of one language.
What are the language options at Salesianum?	Salesianum offers classes in Spanish, French, Mandarin, American Sign Language, and additional languages, requiring students to take at least 3 years of one language.
What are the language courses at Salesianum?	Salesianum offers courses in Spanish, French, Mandarin, American Sign Language, and various other languages, with a mandate for students to take at least 3 years of one language.
What languages are available at Salesianum?	Salesianum offers Spanish, French, Mandarin, American Sign Language, and other language classes, requiring students to study one language for at least 3 years.
What are the language studies at Salesianum?	Salesianum provides studies in Spanish, French, Mandarin, American Sign Language, and other languages, with a requirement for students to complete at least 3 years of one language.
What language options are there at Salesianum?	Salesianum offers options in Spanish, French, Mandarin, American Sign Language, and more, requiring students to complete at least 3 years of one language.
What are the language programs at Salesianum?	Salesianum has programs in Spanish, French, Mandarin, American Sign Language, and other languages, with a requirement for students to pursue one language for at least 3 years.
What are the language courses offered at Salesianum?	Salesianum offers courses in Spanish, French, Mandarin, American Sign Language, and other languages, with a requirement for students to take at least 3 years of one language.

What are the different class phases at Salesianum?	Salesianum's core classes are offered in the following phases (in ascending order): Foundations, College Prep (CP), Accelerated (AC), and Honors (HN). Some classes also have an AP version.
What are the class levels at Salesianum?	Salesianum offers core classes in Foundations, College Prep (CP), Accelerated (AC), and Honors (HN) phases, with some classes having an AP option.
What class phases are there at Salesianum?	Salesianum's class phases include Foundations, College Prep (CP), Accelerated (AC), and Honors (HN), with certain classes offering an AP alternative.
What are the academic levels at Salesianum?	Salesianum provides academic levels in Foundations, College Prep (CP), Accelerated (AC), and Honors (HN), with some courses featuring an AP variation.
What are the class categories at Salesianum?	Salesianum categorizes classes into Foundations, College Prep (CP), Accelerated (AC), and Honors (HN) phases, with select courses offering an AP level.
What are the course stages at Salesianum?	Salesianum offers course stages such as Foundations, College Prep (CP), Accelerated (AC), and Honors (HN), with certain classes also having an AP tier.
What are the educational phases at Salesianum?	Salesianum's educational phases include Foundations, College Prep (CP), Accelerated (AC), and Honors (HN), with some classes offering an AP option.
What are the academic phases at Salesianum?	Salesianum's academic phases consist of Foundations, College Prep (CP), Accelerated (AC), and Honors (HN), with certain courses featuring an AP component.
What are the learning levels at Salesianum?	Salesianum provides learning levels in Foundations, College Prep (CP), Accelerated (AC), and Honors (HN), with some classes having an AP version.

How does grading work at Salesianum?	Salesianum's grading scale is the same as any other school, on a range from 0% - 100%.
What is Salesianum's grading scale?	Salesianum uses a grading scale identical to other schools, ranging from 0% to 100%.
How are grades assigned at Salesianum?	Salesianum assigns grades on a scale from 0% to 100%, similar to other educational institutions.
What is the grading system at Salesianum?	Salesianum employs a grading system from 0% to 100%, comparable to standard educational practices.
How are grades calculated at Salesianum?	Salesianum calculates grades using a scale from 0% to 100%, consistent with typical grading methodologies.
How is grading determined at Salesianum?	Salesianum determines grades using a scale ranging from 0% to 100%, following standard grading procedures.
How does Salesianum grade students?	Salesianum grades students on a scale from 0% to 100%, as per standard grading protocols.
How are student grades determined at Salesianum?	Salesianum determines student grades using a scale from 0% to 100%, in accordance with conventional grading systems.
How does Salesianum assess student performance?	Salesianum assesses student performance using a grading scale from 0% to 100%.

Does Salesianum offer accommodations for students with learning disabilities?	One of the core parts of Salesianum's mission is being inclusive; Salesianum offers many accommodations for students with physical and mental disabilities.
What accommodations does Salesianum offer for students with learning disabilities?	Salesianum offers various accommodations for students with physical and mental disabilities, aligning with its inclusive mission.
What support does Salesianum provide for students with learning disabilities?	Salesianum provides support and accommodations for students with physical and mental disabilities, focusing on inclusivity.
How does Salesianum assist students with learning disabilities?	Salesianum assists students with physical and mental disabilities through accommodations and support, promoting inclusivity.
What services does Salesianum offer for students with learning disabilities?	Salesianum offers services and accommodations for students with physical and mental disabilities, emphasizing inclusivity.
What resources does Salesianum provide for students with learning disabilities?	Salesianum provides resources and accommodations for students with physical and mental disabilities, supporting inclusivity.
How does Salesianum accommodate students with learning disabilities?	Salesianum accommodates students with physical and mental disabilities through various supports and resources, aiming for inclusivity.
What accommodations are available at Salesianum for students with learning disabilities?	Salesianum offers a range of accommodations for students with physical and mental disabilities, ensuring inclusivity.

What sports does Salesianum offer?	Salesianum School offers a wide variety of sports, including Football, Soccer, Lacrosse, Cross Country, Track, Rugby, and Golf. This is not a complete list, and there are many more.
What athletic programs does Salesianum have?	Salesianum has an array of athletic programs such as Football, Soccer, Lacrosse, Cross Country, Track, Rugby, and Golf, among others.
What are the sports teams at Salesianum?	Salesianum's sports teams include Football, Soccer, Lacrosse, Cross Country, Track, Rugby, and Golf, with additional options available.
